product,image_file,image_url,avg_price,revenue_7d,growth_pct,commission_pct,per_sale_$,creators,ads_top10,shop,tiktok_link,source_creator,source_creator_name,source_creator_revenue,source_creator_rank,source_creators_all,creator_item_sold,caption,scene_prompt,scan_status,cut_reason,cut_tiktok_link,market,currency
"Halara Flex Basic Women's High-Waisted Waffle Wide-Leg Work Trousers with Side Pockets – Comfy Casual Fit, Tummy Flattering Design, Loungewear & Home Trousers #tiktokshopmademebuyi",,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/5ea753ed854f4241b79678d0193e9af1~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,26.23,143950.0,,10.0,2.62,,9,halara uk,,@camilla.finds,Cami,504410.0,1,@camilla.finds,5440.0,Adding the Halara Flex Basic Women's High-Waisted Waffle Wi to my cart before I change my mind. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.62/sale (< £3),https://shop.tiktok.com/view/product/1729429759087513325,GB,GBP
P.Louise 3 for £18 Beauty Saver,,https://img.kalocdn.com/tiktok.product.images/tos-no1a-i-t5fjg24jzw-no/8b5958d8f961436a8bcac69319922dbd.png,28.86,57840.0,,10.0,2.89,,4,plmakeupacademy,,@camilla.finds,Cami,504410.0,1,@camilla.finds,2170.0,The P everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.89/sale (< £3); Ads 4/10 (< 7/10),https://shop.tiktok.com/view/product/1729864670001863392,GB,GBP
Halara DayStretch High Waisted Tummy Control Wide Leg Baggy Yoga Pants with Pockets,,https://p16-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/4c2c37d5eb66488c9fe4f1399bd1b7a4~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,31.84,17590.0,,10.0,3.18,,5,halara.wardrobe,,@camilla.finds,Cami,504410.0,1,@camilla.finds,551.0,Stop overthinking the Halara DayStretch High Waisted Tummy Control Wid and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Ads 5/10 (< 7/10),https://shop.tiktok.com/view/product/1729670955502115058,GB,GBP
"Katch Me Look Women's Casual Notch Lapel Double Breasted Waist Tie Trench Coat, Versatile Outerwear for Women, Classy Solid Ladies Jackets for Fall & Winter",,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/4c7cd851fc6c45b096c2206515fbce6c~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,38.25,13750.0,,10.0,3.83,,6,katch me uk,,@camilla.finds,Cami,504410.0,1,@camilla.finds,364.0,The Katch Me Look Women's Casual Notch Lapel Double  everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Ads 6/10 (< 7/10),https://shop.tiktok.com/view/product/1729484589193861782,GB,GBP
"Women's Drop Shoulder Split Hem Sweater, Casual Long Sleeve Round Neck Jumper, Women's Knitwear Top for Fall & Winter, Sweaters for Women",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/a2b64602063b4deebc0cacd87a16a4a1~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,16.97,142810.0,,10.0,1.7,,7,Bettlity,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,8220.0,Do NOT scroll past the Women's Drop Shoulder Split Hem Sweater if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.70/sale (< £3),https://shop.tiktok.com/view/product/1729402132633718507,GB,GBP
"Women's Solid Color Sports Leggings, Sporty Comfy Breathable Skinny Pants for Yoga Gym Workout Running, Ladies Sportswear for All Seasons, Fitness Training Tights, Activewear for Y",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/eac017b1bbd447f6a12a9df9e4d78bf8~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,12.52,83460.0,,10.0,1.25,,5,hearuisavy,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,6730.0,The Women's Solid Color Sports Leggings everyone has been asking me about is finally back. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.25/sale (< £3); Ads 5/10 (< 7/10),https://shop.tiktok.com/view/product/1729426319440448770,GB,GBP
"Women's Solid Mid-calf Socks, Casual Soft Comfy Warm Knit Socks for Fall & Winter, Women's Socks for Daily Wear, Everyday",,https://p19-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/49c805250ad14d17a2dd1f29f49fc78c~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,9.08,59790.0,,10.0,0.91,,7,cool socks,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,7100.0,Do NOT scroll past the Women's Solid Mid-calf Socks if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £0.91/sale (< £3),https://shop.tiktok.com/view/product/1729432805407297455,GB,GBP
"Women's Plain Button Front Knit Cardigan, Casual Basic Long Sleeve Knitwear for Daily Wear, Ladies Clothes for All Seasons",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/760f8381948a4a328eacb9aa6e00b4c6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,26.01,46350.0,,8.0,2.08,,8,Morrie Moon,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,1770.0,Me telling you to grab the Women's Plain Button Front Knit Cardigan before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.08/sale (< £3),https://shop.tiktok.com/view/product/1729445895122881778,GB,GBP
OHS Drying Robe Water Resistant Wind Resistant Changing Soft Sherpa Fleece Lined Oversized Hooded Long Sleeve Coat Jacket for Kids Adults Men Women Surfing Beach Swimming Dry Plain,,https://p19-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/a28afba99f6c42c39b589e7c719696db~tplv-t5fjg24jzw-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,18.94,30920.0,,3.0,0.57,,0,home,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,1630.0,"I am so sorry if you already grabbed an OHS Drying Robe Water Resistant Wind Resistant C, because the discount is huge today. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £0.57/sale (< £3); Ads 0/10 (< 7/10),https://shop.tiktok.com/view/product/1729512032375183491,GB,GBP
"Women's Fashionable Waterproof Non-slip Rain Boots, Casual Comfortable Slip-on Pull on Boots, Perfect for Students and Outdoor Sports, Footwear Boot #TOP PICKS",,https://p19-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/e95a9183dfd747039f05986393be1ab6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,21.49,18240.0,,8.0,1.72,,8,FootHunter,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,865.0,Stop overthinking the Women's Fashionable Waterproof Non-slip Rain Boo and just tap the cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.72/sale (< £3),https://shop.tiktok.com/view/product/1729420401631333468,GB,GBP
"Men's Windproof Hooded Jacket, Reflective Stripes, Casual Long Sleeve Zipper Outerwear for All Seasons, Comfortable Polyester Fabric",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/adf11d3743b549fd91def10847e4ad2c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.36,15820.0,,9.0,2.28,,2,Skyf able,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,642.0,POV: you found the Men's Windproof Hooded Jacket before everyone else did. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.28/sale (< £3); Ads 2/10 (< 7/10),https://shop.tiktok.com/view/product/1729818926536235503,GB,GBP
"Women's Solid Drop Shoulder Long Sleeve Knitting Sweater Basic Casual Fit Fashion Round Neck Pullover, Plain Sweater Pullover, for Fall & Winter, Women's Knitwear for Daily Wear, G",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/6a6442ef0e0b4753aabf6690a5ccf91c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,29.35,13780.0,,8.0,2.35,,3,Morrie Moon,,@emmalouisehutton,Emma Hutton,437650.0,2,@emmalouisehutton,514.0,This is your sign to finally grab the Women's Solid Drop Shoulder Long Sleeve Knitting. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.35/sale (< £3); Ads 3/10 (< 7/10),https://shop.tiktok.com/view/product/1729429263761771762,GB,GBP
"Aviator Jacket Woman,New In Coats And Jackets，Zip Up Jacket Women's Spring Jacket,Suede Jacket,Oversized Pilot Jacket Cropped Fit, Streetwear Pleats Short Jacket Woman",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/deae5f690f0c4358829f1cdff051481c~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.21,36710.0,,10.0,2.52,,4,TRAF store,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,1520.0,Do NOT scroll past the Aviator Jacket Woman if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.52/sale (< £3); Ads 4/10 (< 7/10),https://shop.tiktok.com/view/product/1729615394236897943,GB,GBP
"Women's Fashion Retro Plaid Stand Collar Short Coat, Drawstring Design, Zipper Front, Perfect for Fall Winter Daily Holiday Outing,scarf,puffer,gog,half",,https://p16-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/b20e3016da2649519b039f83c596e82d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,31.17,35070.0,,6.0,1.87,,5,Luxe Brit,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,1110.0,Do NOT scroll past the Women's Fashion Retro Plaid Stand Collar Short C if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.87/sale (< £3); Ads 5/10 (< 7/10),https://shop.tiktok.com/view/product/1729897743750699433,GB,GBP
"Women's Colorblock Striped Lounge Set, Loungewear Set, Short Sleeve Button Front Henley Top, Drawstring Waist Wide Leg Pants, High Stretch Soft Knit Fabric, Daily Home Wear Sleepwe",,https://p19-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/03e8779bebef4512a273d22fc93c8e7a~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.29,25300.0,,8.0,2.02,,2,DolceAmara,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,1050.0,I can not believe how good the Women's Colorblock Striped Lounge Set is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.02/sale (< £3); Ads 2/10 (< 7/10),https://shop.tiktok.com/view/product/1729795747216988651,GB,GBP
PRETTYLITTLETHING Ash Grey Logo Oversized Wide Leg Joggers,,https://img.kalocdn.com/tiktok.product.images/tos-useast2a-i-tulkllf4y5-euttp/8d4a81274053460cb7389d0273e3ce0c.png,21.98,23340.0,,10.0,2.2,,6,prettylittlething,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,1080.0,This is your sign to finally grab the PRETTYLITTLETHING Ash Grey Logo Oversized Wide L. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.20/sale (< £3); Ads 6/10 (< 7/10),https://shop.tiktok.com/view/product/1729406794416819370,GB,GBP
"Women's Fashion Retro Gingham Plaid Stand Collar Short Coat, Drawstring Design, Zipper Front, Perfect for Fall Winter Daily Holiday Outing",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/3030dca4131345a39262edeeac4a1e5b~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.87,21100.0,,8.0,2.07,,10,Cold Brew,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,862.0,Me telling you to grab the Women's Fashion Retro Gingham Plaid Stand Collar before it sells out again. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.07/sale (< £3),https://shop.tiktok.com/view/product/1729867831487077357,GB,GBP
INLYRIC Women's Inbarely Plus Plunge Bra Unlined Underwire Sexy Demi Balconette Bras SpringStatements,,https://p19-oec-general.tiktokcdn-eu.com/tos-alisg-i-aphluv4xwc-sg/9299387351684977b68e8d37aaee05cd~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,37.23,17500.0,,8.0,2.98,,5,Inlyric.uk,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,451.0,"Run, do not walk, to grab the INLYRIC Women's Inbarely Plus Plunge Bra Unlined. 😱😭","put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.98/sale (< £3); Ads 5/10 (< 7/10),https://shop.tiktok.com/view/product/1729785802588788976,GB,GBP
"Women's Two-Piece Sporty, Long Sleeve Top & High-Waisted Pants, Breathable Yoga Gym Running Wear, Spring Fall Fitness Apparel, Yoga Fit Sets",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/ab3a96603b6340cfb7f4a46984c1dccb~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,21.79,14420.0,,8.0,1.74,,10,Shandeng Clothing,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,689.0,I can not believe how good the Women's Two-Piece Sporty is for the price. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.74/sale (< £3),https://shop.tiktok.com/view/product/1729845906035547063,GB,GBP
"Women's Autumn Winter Fleece Jacket, Loose Fit Stand Collar Zipper Pocket Drawstring Adjustable Design, Sporty Casual Thick Warm Short Coat for Ladies, Daily Wear Outerwear, Cold W",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/86f25e9663804771a992870b0c966002~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,17.99,14050.0,,10.0,1.8,,6,Sleek Luxe Sport,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,769.0,The Women's Autumn Winter Fleece Jacket is about to be everywhere. Get it first. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £1.80/sale (< £3); Ads 6/10 (< 7/10),https://shop.tiktok.com/view/product/1729607558879680909,GB,GBP
"Women's Casual Commuter Tank Top Sports Set, Slim Fit Yoga, Comfortable and Stylish, Perfect for Daily Wear and Exercise",,https://p16-oec-general.tiktokcdn-eu.com/tos-maliva-i-o3syd03w52-us/cf3f3742030e4b6485b1383b76630855~tplv-o3syd03w52-origin-jpeg.jpeg?dr=11254&t=555f072d&ps=933b5bde&shp=a3510d86&shcp=6ce186a1&idc=no1a&from=2739998086,25.5,9190.0,,8.0,2.04,,5,Sports-Girl,,@taliawebb8,Talia Webb,274430.0,3,@taliawebb8,398.0,Do NOT scroll past the Women's Casual Commuter Tank Top Sports Set if it has been sitting in your cart. 😱😭,"put the product from the image on a clean modern surface that fits the product, natural lighting",CUT,Commission £2.04/sale (< £3); Ads 5/10 (< 7/10),https://shop.tiktok.com/view/product/1729820994368871251,GB,GBP
